iter	Logloss
0	0.6717369991
1	0.6518279722
2	0.6341129439
3	0.617098363
4	0.5986718128
5	0.5819289838
6	0.5665295909
7	0.5508337221
8	0.536413212
9	0.523603137
10	0.50933798
11	0.4950574464
12	0.4821042441
13	0.4739838169
14	0.4624480057
15	0.4514816635
16	0.4408768673
17	0.4318480263
18	0.4217866586
19	0.413529887
20	0.4065784363
21	0.3972292753
22	0.3880019921
23	0.3799544944
24	0.3725930014
25	0.3640453239
26	0.3563061311
27	0.35345204
28	0.3479443546
29	0.3408541193
30	0.3350753397
31	0.3295521892
32	0.3243882778
33	0.3184791898
34	0.3129254387
35	0.308271886
36	0.3028183373
37	0.297812392
38	0.2938622006
39	0.2895143787
40	0.2854506715
41	0.2838784084
42	0.2802619574
43	0.2765051156
44	0.2725588327
45	0.2683978247
46	0.2651305684
47	0.2618676994
48	0.2585283484
49	0.2551965411
50	0.2523801758
51	0.2493983649
52	0.2470978368
53	0.2443432567
54	0.2420377981
55	0.2396418849
56	0.2372306866
57	0.2344023226
58	0.2324271383
59	0.2303391241
60	0.2279500031
61	0.2262671723
62	0.2239377513
63	0.2217351297
64	0.2198058113
65	0.2183715815
66	0.2166317449
67	0.2152486819
68	0.2140239757
69	0.2124236245
70	0.2108353902
71	0.2091162968
72	0.2072559904
73	0.205958193
74	0.2047437851
75	0.2031021141
76	0.2015667255
77	0.2005256984
78	0.1989041525
79	0.1973574898
80	0.1959697092
81	0.1948121958
82	0.1933928403
83	0.192309416
84	0.1913903279
85	0.1903397271
86	0.1893966936
87	0.1883435321
88	0.1871592163
89	0.1863037041
90	0.1850376884
91	0.183952667
92	0.1831339458
93	0.1821646185
94	0.1816504153
95	0.1809077128
96	0.1804906921
97	0.1796323257
98	0.1784931716
99	0.177533719
100	0.1765586986
101	0.1757085759
102	0.1748998514
103	0.1741292359
104	0.1731686587
105	0.172411501
106	0.1716979396
107	0.1709613716
108	0.170117061
109	0.1694834599
110	0.1688192621
111	0.1681859578
112	0.1673336025
113	0.1666497983
114	0.1661218489
115	0.165207568
116	0.1643463366
117	0.1637290342
118	0.1629901058
119	0.162505876
120	0.1617718419
121	0.1610772936
122	0.1605812398
123	0.1601732263
124	0.1596625047
125	0.1591302348
126	0.1586589091
127	0.1582587699
128	0.1577970688
129	0.157255712
130	0.1570696428
131	0.156590085
132	0.1560768271
133	0.1554269227
134	0.1549450102
135	0.1547893594
136	0.1543281057
137	0.1537341076
138	0.153311682
139	0.1526835383
140	0.1520555297
141	0.1515785083
142	0.151119131
143	0.1506730772
144	0.150261863
145	0.1498916005
146	0.1492977163
147	0.1489609361
148	0.14864333
149	0.1480349769
150	0.147433906
151	0.1469465682
152	0.1465157603
153	0.1460904556
154	0.1457090418
155	0.1453355664
156	0.1450071371
157	0.1443608092
158	0.1439360101
159	0.1434239993
160	0.1430225901
161	0.1426147902
162	0.1422520943
163	0.1419223744
164	0.141627044
165	0.1413538948
166	0.1410176153
167	0.1406349377
168	0.1402294653
169	0.1398673397
170	0.1394878928
171	0.1390924335
172	0.1386226659
173	0.1381409443
174	0.1376982892
175	0.1372010636
176	0.1369350128
177	0.1364292639
178	0.1360199454
179	0.1356112977
180	0.1354124116
181	0.1352085372
182	0.1349376875
183	0.1344804811
184	0.1341782347
185	0.1339300597
186	0.1336245588
187	0.1333548478
188	0.1332373154
189	0.1329918365
190	0.1327002423
191	0.1324292706
192	0.1321416074
193	0.1317862865
194	0.1315369425
195	0.1311871921
196	0.1309102641
197	0.1305517176
198	0.130152405
199	0.1299013449
200	0.1296374398
201	0.1293901548
202	0.1290529315
203	0.1288226294
204	0.128414949
205	0.1281536347
206	0.1278993914
207	0.1275831572
208	0.1273407749
209	0.1270251488
210	0.1266820783
211	0.1265072527
212	0.1264186648
213	0.1261226147
214	0.125876677
215	0.1255625196
216	0.1251936816
217	0.1249449919
218	0.1247100997
219	0.1243893587
220	0.1241751426
221	0.1238699657
222	0.1236941042
223	0.1233805362
224	0.1232316954
225	0.1229456797
226	0.1228658913
227	0.1226273781
228	0.1223400693
229	0.1220722298
230	0.1218528018
231	0.1216265228
232	0.1213947731
233	0.1211457788
234	0.1207832345
235	0.1205620541
236	0.1203512349
237	0.1201240636
238	0.1197828199
239	0.1196105217
240	0.1193445399
241	0.1192467718
242	0.11891486
243	0.1186866303
244	0.1184872519
245	0.1183453752
246	0.1181740006
247	0.1179557944
248	0.1177009569
249	0.1174652477
250	0.1173401469
251	0.1171792404
252	0.1169903929
253	0.1166241176
254	0.1164263199
255	0.1161403997
256	0.1159181606
257	0.1157301917
258	0.1155851917
259	0.1153888526
260	0.115093613
261	0.114891437
262	0.1146060017
263	0.1143579106
264	0.1141544302
265	0.1139527475
266	0.1137392237
267	0.11352152
268	0.1134143145
269	0.1132861219
270	0.1131421795
271	0.1129305076
272	0.112665662
273	0.1124549674
274	0.1123288865
275	0.1120772324
276	0.1119544175
277	0.111681656
278	0.1115208527
279	0.1113294405
280	0.1111733535
281	0.1109979596
282	0.1108126611
283	0.1106960383
284	0.1104622266
285	0.1102136512
286	0.1099589088
287	0.1097861007
288	0.1095350488
289	0.1093989652
290	0.1091479203
291	0.1089127379
292	0.1087701418
293	0.10850522
294	0.1083121607
295	0.1081357599
296	0.1078945193
297	0.107761601
298	0.1075982547
299	0.1074286529
300	0.1072478274
301	0.1071789957
302	0.10701004
303	0.1067982279
304	0.1066578762
305	0.106530505
306	0.1063888471
307	0.1062644501
308	0.1060610467
309	0.1059487025
310	0.1057229469
311	0.105504326
312	0.1053003847
313	0.1051075335
314	0.1049469035
315	0.1047687013
316	0.1046384846
317	0.1044341392
318	0.1042534619
319	0.1041420782
320	0.104005116
321	0.1038737639
322	0.1037729632
323	0.1035809801
324	0.1034192907
325	0.1032261821
326	0.1030425005
327	0.1028261904
328	0.1026028581
329	0.1023427316
330	0.1022240242
331	0.1020364949
332	0.1018841682
333	0.1017806103
334	0.1016972038
335	0.1015550172
336	0.1013660664
337	0.1011709791
338	0.1010243259
339	0.1009195639
340	0.1008230395
341	0.1006333405
342	0.1004472544
343	0.1003489667
344	0.100238526
345	0.1000425267
346	0.09991197157
347	0.09974498733
348	0.09962414738
349	0.09950151735
350	0.09931792776
351	0.09916163124
352	0.09895372148
353	0.09875904092
354	0.0986345007
355	0.09848897184
356	0.09828194364
357	0.09819600769
358	0.09805510245
359	0.09788903993
360	0.0976757262
361	0.09755754282
362	0.09736208784
363	0.09722572683
364	0.09708208658
365	0.09691833547
366	0.09672678548
367	0.09659157977
368	0.09643859672
369	0.09626292347
370	0.09612306853
371	0.0960318681
372	0.09587835524
373	0.09573988432
374	0.09562321232
375	0.09547507972
376	0.09530874671
377	0.09517625067
378	0.09499756275
379	0.09480065852
380	0.09464803559
381	0.09448324064
382	0.09442951815
383	0.09431484488
384	0.09412274609
385	0.09400046808
386	0.0938753637
387	0.09376622149
388	0.09364275841
389	0.0935306417
390	0.09337086634
391	0.09323032445
392	0.09306186023
393	0.09298128594
394	0.09286118942
395	0.09265640201
396	0.09258546999
397	0.09244677857
398	0.09224607986
399	0.09207088426
400	0.09195476309
401	0.09186164035
402	0.09173871906
403	0.09157628256
404	0.09148161192
405	0.09134616173
406	0.09126342145
407	0.0911161072
408	0.09099887454
409	0.09077839827
410	0.0906258717
411	0.09047399408
412	0.09030086688
413	0.09014714674
414	0.08998939154
415	0.0899087252
416	0.08988400999
417	0.08977863599
418	0.08962222437
419	0.0894917683
420	0.08933358505
421	0.08925516892
422	0.0891851027
423	0.08910502978
424	0.08900011428
425	0.08891665214
426	0.08878024073
427	0.08869151856
428	0.08858662436
429	0.08847236782
430	0.08838853289
431	0.08824826702
432	0.08809723471
433	0.08794146045
434	0.08792793016
435	0.08781020233
436	0.08771051695
437	0.08764923407
438	0.08750784714
439	0.08731747698
440	0.08723512513
441	0.08717206833
442	0.08709012552
443	0.08692975069
444	0.08681046579
445	0.0867549245
446	0.0865935538
447	0.08650793404
448	0.08643157688
449	0.08641582549
450	0.08627915113
451	0.08613939781
452	0.08597855773
453	0.08589473614
454	0.08581353568
455	0.08568877834
456	0.08561102302
457	0.08539783314
458	0.08528869714
459	0.08514039553
460	0.08501673284
461	0.08491924889
462	0.08476217188
463	0.08465919352
464	0.0845718001
465	0.08455172105
466	0.08442189371
467	0.08434611259
468	0.08417854099
469	0.08405036411
470	0.08388865499
471	0.08382051984
472	0.08371160218
473	0.08356376487
474	0.08340920601
475	0.0832643544
476	0.08314497246
477	0.08304066264
478	0.08290376361
479	0.08279270948
480	0.08272453228
481	0.08257783666
482	0.08250486938
483	0.08241731195
484	0.08231050271
485	0.08217909297
486	0.08204616592
487	0.08196687564
488	0.08183718658
489	0.08175470089
490	0.08165470229
491	0.08155890196
492	0.08144952956
493	0.08132964544
494	0.08122186879
495	0.08113455274
496	0.08102801387
497	0.08091965943
498	0.08084574724
499	0.08072880313
500	0.08065575257
501	0.08056027705
502	0.08048368376
503	0.08041514523
504	0.08034442009
505	0.08031281527
506	0.08023073095
507	0.08008739664
508	0.08001279413
509	0.07989112855
510	0.07974062578
511	0.07964881616
512	0.07958457523
513	0.07952859376
514	0.07939126776
515	0.0792370387
516	0.07916094059
517	0.07903730364
518	0.07894454722
519	0.07885192383
520	0.07878051834
521	0.07876405883
522	0.07860949445
523	0.07849917498
524	0.07839356242
525	0.07832958861
526	0.07819467133
527	0.07806678341
528	0.07796051787
529	0.07786043193
530	0.0777760889
531	0.07771717714
532	0.0775714399
533	0.07745731894
534	0.07729260055
535	0.07723263538
536	0.07715626663
537	0.07704538825
538	0.07695733214
539	0.07682014671
540	0.07672294605
541	0.07665492358
542	0.07655436983
543	0.07648918061
544	0.07636251309
545	0.07625118361
546	0.07610055186
547	0.07599577532
548	0.07594679573
549	0.07589203682
550	0.07580288175
551	0.07573819403
552	0.07562895668
553	0.07557886249
554	0.07549174645
555	0.07540197734
556	0.0752944294
557	0.07517874059
558	0.07505877265
559	0.07500240047
560	0.07492168911
561	0.07483264388
562	0.07475691235
563	0.07467534813
564	0.07457490787
565	0.07445531743
566	0.07426176279
567	0.07412952026
568	0.07407211853
569	0.07402996831
570	0.07400166523
571	0.07390837928
572	0.07384892707
573	0.07376920739
574	0.07367896697
575	0.07360051081
576	0.07352019246
577	0.0733900023
578	0.07328527711
579	0.07322900076
580	0.07311901822
581	0.07300948531
582	0.07288409708
583	0.07276646332
584	0.07260513656
585	0.07250391985
586	0.07239517538
587	0.07234168969
588	0.07227161444
589	0.07218665535
590	0.07210902604
591	0.0720242803
592	0.07192455947
593	0.07179681092
594	0.0717502546
595	0.07160923844
596	0.07155365577
597	0.07147751372
598	0.07137688531
599	0.07131627066
600	0.07120439641
601	0.07112036121
602	0.07104998675
603	0.07099206276
604	0.07090453848
605	0.07084758137
606	0.07078893472
607	0.070718019
608	0.07059552981
609	0.07053483981
610	0.07046980087
611	0.07040518121
612	0.07031731568
613	0.07022978857
614	0.07018013901
615	0.07010899242
616	0.07003378356
617	0.06997946227
618	0.06985632493
619	0.06978719203
620	0.06963761746
621	0.06955764521
622	0.06942578694
623	0.06933564827
624	0.06927412186
625	0.06921072367
626	0.06908341044
627	0.06901901829
628	0.06893421918
629	0.0687773136
630	0.06873345106
631	0.06864646116
632	0.06857068354
633	0.06844893251
634	0.06838012308
635	0.06828485727
636	0.06818315968
637	0.06811573345
638	0.06797338556
639	0.0679273011
640	0.06785352072
641	0.06778856696
642	0.06772301614
643	0.06762429009
644	0.06754911357
645	0.06747907026
646	0.06739622769
647	0.06731993159
648	0.06723629694
649	0.06720074791
650	0.06711309222
651	0.06707095588
652	0.06699646119
653	0.06692204872
654	0.06685280517
655	0.06676784567
656	0.06668331638
657	0.06660399442
658	0.06654458237
659	0.0664040111
660	0.0663441586
661	0.06627939932
662	0.0661746965
663	0.06609968616
664	0.06602697995
665	0.06595457052
666	0.06584098974
667	0.06577108053
668	0.06570437818
669	0.06560175846
670	0.06550426319
671	0.06543214177
672	0.06535599931
673	0.06529393339
674	0.06523563809
675	0.06515719649
676	0.06508115647
677	0.06501997117
678	0.06494063681
679	0.06485707333
680	0.06476819765
681	0.0647014147
682	0.06460979714
683	0.06455350273
684	0.06450972212
685	0.06440834719
686	0.06431563511
687	0.06425643035
688	0.06415991341
689	0.06410035014
690	0.06406055297
691	0.06396040841
692	0.06388315648
693	0.06381772143
694	0.06371392538
695	0.06362684977
696	0.06358144498
697	0.06353439174
698	0.06346050206
699	0.06337992952
700	0.06333487218
701	0.0632775621
702	0.06320167653
703	0.06315343524
704	0.06309880962
705	0.06305720969
706	0.06297748031
707	0.0629244158
708	0.0628762388
709	0.06284484815
710	0.06279233865
711	0.06271944941
712	0.06266839993
713	0.06259565936
714	0.06253743455
715	0.06247320345
716	0.06235603885
717	0.06231032434
718	0.06225774732
719	0.06221964172
720	0.06213511728
721	0.06208424059
722	0.06202900942
723	0.06197548209
724	0.06191407172
725	0.0618380852
726	0.06180335291
727	0.06171143803
728	0.06164905309
729	0.06155116171
730	0.06150872765
731	0.06144845573
732	0.0613743333
733	0.06132657721
734	0.06123527044
735	0.06115186895
736	0.06108442574
737	0.06103238041
738	0.06097449227
739	0.06092386087
740	0.06086654836
741	0.06079238064
742	0.06071919435
743	0.06067516145
744	0.0606288891
745	0.06056917974
746	0.06050279762
747	0.0604567734
748	0.06038741003
749	0.06033849905
750	0.06029869662
751	0.0602363819
752	0.06017141021
753	0.06013734978
754	0.06009788659
755	0.06004472922
756	0.0599911531
757	0.05993261911
758	0.05988945942
759	0.05982595504
760	0.05975095211
761	0.05967540267
762	0.05962350356
763	0.05956081457
764	0.0595019795
765	0.05945199907
766	0.05941003551
767	0.05933804496
768	0.05926254215
769	0.05920599557
770	0.05916725558
771	0.05912323171
772	0.05909239174
773	0.05905425717
774	0.05900368817
775	0.05895141197
776	0.0589162085
777	0.05885015698
778	0.05881067654
779	0.05876299336
780	0.05871193715
781	0.05867629755
782	0.05862475695
783	0.05858356795
784	0.05854759559
785	0.05850167218
786	0.0584187854
787	0.05836717512
788	0.05833342104
789	0.05826548252
790	0.05820665257
791	0.05817168604
792	0.05810303321
793	0.05804958729
794	0.05802193801
795	0.0579198578
796	0.05786137813
797	0.05782853647
798	0.05778110816
799	0.05772591001
800	0.05769051395
801	0.05764659547
802	0.05760105698
803	0.05755693054
804	0.05753038103
805	0.05749241358
806	0.05746457373
807	0.05738537159
808	0.0573209479
809	0.05727802851
810	0.05723520118
811	0.0571506855
812	0.05712080999
813	0.05706820426
814	0.05702615216
815	0.05696274737
816	0.05692040415
817	0.05688023769
818	0.05681066246
819	0.05676924798
820	0.05673428253
821	0.05664425505
822	0.05658955437
823	0.0565360327
824	0.05647421544
825	0.05643359694
826	0.05637539949
827	0.05633054823
828	0.05630304855
829	0.05624244158
830	0.05620274792
831	0.05615892836
832	0.05609974139
833	0.056039563
834	0.05598181786
835	0.05594547298
836	0.05591307999
837	0.05587062383
838	0.05581962153
839	0.05576796974
840	0.05573238014
841	0.05569500112
842	0.05562889098
843	0.05559398712
844	0.05555937181
845	0.05550822624
846	0.05545069634
847	0.05540974993
848	0.05538670433
849	0.05531411484
850	0.05527456256
851	0.05521667536
852	0.05517720691
853	0.05512132114
854	0.05506382156
855	0.05502529964
856	0.05496983854
857	0.05493221774
858	0.05489536852
859	0.05485632057
860	0.0548202947
861	0.05477209398
862	0.05471773657
863	0.05468819315
864	0.05463409195
865	0.05458590053
866	0.05456168346
867	0.05454159362
868	0.05450778684
869	0.05447374326
870	0.05443886352
871	0.05439620883
872	0.05436815307
873	0.05430687855
874	0.0542714244
875	0.05423863086
876	0.05422237163
877	0.05418753705
878	0.05415564017
879	0.05412230349
880	0.05406977431
881	0.05404492716
882	0.05401221489
883	0.05397882995
884	0.05394250892
885	0.05391825735
886	0.05388623041
887	0.05382147962
888	0.05379767712
889	0.05374330959
890	0.05370550064
891	0.05362930117
892	0.05359759379
893	0.05354590265
894	0.05352479647
895	0.05350416457
896	0.05346753208
897	0.05342227905
898	0.05338515799
899	0.05335418338
900	0.05332102285
901	0.05328969513
902	0.05326458477
903	0.05319075196
904	0.0531406567
905	0.0530866745
906	0.05302518407
907	0.05299540412
908	0.0529337432
909	0.05287374326
910	0.05284655546
911	0.05280147035
912	0.05276182481
913	0.05270560776
914	0.05266660577
915	0.05262801026
916	0.05259651744
917	0.05255898383
918	0.05250693648
919	0.05247871737
920	0.05241904143
921	0.05236095921
922	0.05233027802
923	0.05228627692
924	0.05225875339
925	0.05222133744
926	0.0521890733
927	0.05214762432
928	0.05212352773
929	0.05209506252
930	0.05206903675
931	0.05203780769
932	0.05199220896
933	0.05196679548
934	0.05193685138
935	0.05190874386
936	0.05188712513
937	0.05184488717
938	0.05182368679
939	0.05180050964
940	0.05176860374
941	0.05171480497
942	0.05166251165
943	0.05163596578
944	0.05157951476
945	0.05152833495
946	0.05150009428
947	0.05147089737
948	0.05144845327
949	0.05141384471
950	0.05136796834
951	0.05133042583
952	0.05131045986
953	0.05125420952
954	0.05123063991
955	0.05120299751
956	0.05115334323
957	0.05112419794
958	0.05108564449
959	0.05105662454
960	0.05100776854
961	0.05098073519
962	0.05093999149
963	0.05091133409
964	0.05088602169
965	0.05083747204
966	0.05076587261
967	0.05072891881
968	0.05067428308
969	0.05061578966
970	0.05058351083
971	0.05052441793
972	0.05049367083
973	0.05046855413
974	0.05044236097
975	0.05037685907
976	0.05034896288
977	0.0502958357
978	0.05023291409
979	0.05020730303
980	0.05015877076
981	0.05009079316
982	0.05003877708
983	0.04997239954
984	0.04995304558
985	0.04990115376
986	0.04987326795
987	0.04985455014
988	0.04983084508
989	0.04980010269
990	0.04974064522
991	0.04968267137
992	0.04962922477
993	0.04956625369
994	0.04953897869
995	0.04951494666
996	0.04948104621
997	0.04943213091
998	0.04940818716
999	0.04935243198
