iter	Passed	Remaining
0	8	8216
1	13	6779
2	21	7008
3	27	6948
4	33	6575
5	38	6372
6	45	6415
7	58	7293
8	63	7016
9	69	6875
10	75	6807
11	80	6625
12	87	6678
13	92	6516
14	95	6281
15	101	6269
16	106	6163
17	109	5993
18	115	5942
19	134	6610
20	140	6527
21	143	6399
22	149	6334
23	153	6237
24	158	6179
25	162	6090
26	167	6027
27	169	5873
28	172	5780
29	176	5704
30	181	5666
31	184	5566
32	187	5499
33	191	5432
34	195	5393
35	199	5349
36	203	5307
37	206	5222
38	210	5193
39	215	5173
40	219	5144
41	222	5068
42	228	5075
43	232	5044
44	235	5001
45	239	4971
46	245	4975
47	249	4944
48	253	4927
49	257	4894
50	262	4891
51	267	4869
52	271	4843
53	276	4838
54	281	4840
55	286	4837
56	293	4851
57	298	4853
58	303	4845
59	308	4837
60	314	4834
61	319	4833
62	324	4831
63	330	4827
64	335	4830
65	340	4822
66	345	4810
67	349	4789
68	353	4775
69	358	4759
70	362	4740
71	367	4731
72	379	4813
73	389	4868
74	396	4889
75	405	4933
76	410	4926
77	419	4956
78	424	4945
79	427	4921
80	432	4912
81	436	4890
82	440	4868
83	443	4840
84	448	4831
85	453	4818
86	456	4794
87	460	4773
88	465	4762
89	469	4749
90	473	4725
91	477	4716
92	482	4708
93	486	4692
94	489	4658
95	491	4632
96	496	4620
97	500	4607
98	504	4589
99	508	4574
100	512	4563
101	516	4549
102	520	4537
103	526	4535
104	531	4527
105	535	4519
106	540	4510
107	577	4769
108	581	4754
109	584	4732
110	588	4714
111	593	4704
112	597	4690
113	601	4676
114	606	4665
115	610	4653
116	614	4638
117	617	4617
118	622	4607
119	626	4597
120	630	4581
121	634	4565
122	639	4562
123	643	4547
124	646	4528
125	650	4509
126	655	4504
127	659	4491
128	662	4472
129	665	4454
130	669	4439
131	672	4424
132	676	4407
133	679	4391
134	684	4388
135	688	4372
136	691	4358
137	695	4342
138	699	4334
139	704	4328
140	708	4317
141	712	4302
142	716	4292
143	720	4281
144	724	4271
145	727	4257
146	732	4253
147	736	4241
148	740	4227
149	743	4215
150	748	4208
151	752	4197
152	755	4184
153	759	4169
154	763	4161
155	767	4151
156	770	4139
157	774	4126
158	779	4123
159	786	4126
160	795	4145
161	801	4147
162	806	4142
163	812	4139
164	816	4129
165	819	4116
166	822	4102
167	827	4100
168	831	4090
169	835	4077
170	838	4065
171	843	4061
172	847	4051
173	850	4039
174	853	4025
175	858	4019
176	862	4010
177	866	4003
178	870	3991
179	876	3992
180	880	3982
181	884	3975
182	888	3968
183	893	3962
184	897	3954
185	901	3944
186	907	3946
187	913	3943
188	916	3934
189	921	3929
190	927	3927
191	932	3922
192	937	3918
193	941	3909
194	945	3903
195	950	3899
196	955	3895
197	959	3888
198	964	3882
199	970	3881
200	975	3878
201	979	3869
202	984	3866
203	989	3862
204	993	3852
205	1002	3863
206	1006	3857
207	1011	3850
208	1016	3845
209	1020	3840
210	1024	3831
211	1028	3823
212	1049	3877
213	1053	3867
214	1056	3857
215	1059	3846
216	1064	3839
217	1068	3833
218	1072	3824
219	1076	3815
220	1080	3808
221	1084	3801
222	1088	3792
223	1091	3782
224	1096	3778
225	1101	3772
226	1104	3761
227	1107	3751
228	1112	3745
229	1117	3739
230	1121	3732
231	1125	3726
232	1130	3719
233	1134	3714
234	1138	3705
235	1143	3701
236	1147	3694
237	1151	3686
238	1154	3677
239	1159	3673
240	1164	3668
241	1167	3657
242	1171	3648
243	1178	3651
244	1184	3651
245	1212	3716
246	1217	3711
247	1222	3707
248	1228	3705
249	1232	3696
250	1237	3693
251	1242	3688
252	1247	3682
253	1251	3676
254	1258	3676
255	1263	3671
256	1267	3664
257	1273	3662
